2026-04-08T09:25:33.245Z | GET | / | 500 | 29ms
2026-04-08T09:31:06.105Z | GET | / | 500 | 26ms
2026-04-08T09:31:07.102Z | GET | / | 500 | 5ms
2026-04-08T09:31:07.875Z | GET | / | 500 | 3ms
2026-04-08T09:31:09.463Z | GET | / | 500 | 3ms
2026-04-08T09:35:37.572Z | GET | / | 500 | 33ms
2026-04-08T09:59:35.515Z | GET | / | 200 | 21ms
2026-04-08T14:58:25.880Z | GET | / | 200 | 14ms
2026-04-08T14:58:26.039Z | GET | / | 304 | 2ms
2026-04-08T14:58:27.039Z | GET | / | 304 | 1ms
2026-04-08T14:58:27.557Z | GET | / | 304 | 3ms
2026-04-08T14:58:27.809Z | GET | / | 304 | 1ms
2026-04-08T15:55:41.303Z | GET | / | 200 | 17ms
2026-04-08T15:55:41.642Z | GET | /favicon.ico | 404 | 8ms
